,movieId,imdbId,tmdbId,poster,title
0,1,114709,862.0,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,Toy Story (1995)
1,2,113497,8844.0,https://image.tmdb.org/t/p/w500/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,Jumanji (1995)
2,3,113228,15602.0,https://image.tmdb.org/t/p/w500/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,Grumpier Old Men (1995)
3,4,114885,31357.0,https://image.tmdb.org/t/p/w500/kJokIbVDkd6Ywp7IONv8xgfiES7.jpg,Waiting to Exhale (1995)
4,5,113041,11862.0,https://image.tmdb.org/t/p/w500/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,Father of the Bride Part II (1995)
5,6,113277,949.0,https://image.tmdb.org/t/p/w500/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,Heat (1995)
6,7,114319,11860.0,https://image.tmdb.org/t/p/w500/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,Sabrina (1995)
7,8,112302,45325.0,https://image.tmdb.org/t/p/w500/vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg,Tom and Huck (1995)
8,9,114576,9091.0,https://image.tmdb.org/t/p/w500/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,Sudden Death (1995)
9,10,113189,710.0,https://image.tmdb.org/t/p/w500/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,GoldenEye (1995)
10,11,112346,9087.0,https://image.tmdb.org/t/p/w500/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,"American President, The (1995)"
11,12,112896,12110.0,https://image.tmdb.org/t/p/w500/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,Dracula: Dead and Loving It (1995)
12,13,112453,21032.0,https://image.tmdb.org/t/p/w500/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,Balto (1995)
13,14,113987,10858.0,https://image.tmdb.org/t/p/w500/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,Nixon (1995)
14,15,112760,1408.0,https://image.tmdb.org/t/p/w500/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,Cutthroat Island (1995)
15,16,112641,524.0,https://image.tmdb.org/t/p/w500/6zEZY1htzRos2w0W3T7o7W1WJhp.jpg,Casino (1995)
16,17,114388,4584.0,https://image.tmdb.org/t/p/w500/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,Sense and Sensibility (1995)
17,18,113101,5.0,https://image.tmdb.org/t/p/w500/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,Four Rooms (1995)
18,19,112281,9273.0,https://image.tmdb.org/t/p/w500/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,Ace Ventura: When Nature Calls (1995)
19,20,113845,11517.0,https://image.tmdb.org/t/p/w500/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,Money Train (1995)
20,21,113161,8012.0,https://image.tmdb.org/t/p/w500/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,Get Shorty (1995)
21,22,112722,1710.0,https://image.tmdb.org/t/p/w500/lKNjGQXTy5WkSjAtLzLzAN9IHCD.jpg,Copycat (1995)
22,23,112401,9691.0,https://image.tmdb.org/t/p/w500/kgqS4jn60E8UIExfceMUExB3ZKK.jpg,Assassins (1995)
23,24,114168,12665.0,https://image.tmdb.org/t/p/w500/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg,Powder (1995)
24,25,113627,451.0,https://image.tmdb.org/t/p/w500/nqc2LaUWB4ePf6IqpJ6D8apBDvn.jpg,Leaving Las Vegas (1995)
25,26,114057,16420.0,https://image.tmdb.org/t/p/w500/nNP3FDHUIyztw5eq5AejZKzqXbz.jpg,Othello (1995)
26,27,114011,9263.0,https://image.tmdb.org/t/p/w500/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,Now and Then (1995)
27,28,114117,17015.0,https://image.tmdb.org/t/p/w500/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg,Persuasion (1995)
28,29,112682,902.0,https://image.tmdb.org/t/p/w500/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
