,movieId,title,genres,tag,top_5_tags
0,1,Toy Story (1995),"Adventure, Animation, Children, Comedy, Fantasy","[('pixar', 2), ('fun', 1)]","pixar, fun"
1,2,Jumanji (1995),"Adventure, Children, Fantasy","[('fantasy', 1), ('magic board game', 1), ('Robin Williams', 1), ('game', 1)]","fantasy, magic board game, Robin Williams, game"
2,3,Grumpier Old Men (1995),"Comedy, Romance","[('moldy', 1), ('old', 1)]","moldy, old"
3,5,Father of the Bride Part II (1995),Comedy,"[('pregnancy', 1), ('remake', 1)]","pregnancy, remake"
4,7,Sabrina (1995),"Comedy, Romance","[('remake', 1)]",remake
5,11,The American President (1995),"Comedy, Drama, Romance","[('politics', 1), ('president', 1)]","politics, president"
6,14,Nixon (1995),Drama,"[('politics', 1), ('president', 1)]","politics, president"
7,16,Casino (1995),"Crime, Drama","[('Mafia', 1)]",Mafia
8,17,Sense and Sensibility (1995),"Drama, Romance","[('Jane Austen', 1)]",Jane Austen
9,21,Get Shorty (1995),"Comedy, Crime, Thriller","[('Hollywood', 1)]",Hollywood
10,22,Copycat (1995),"Crime, Drama, Horror, Mystery, Thriller","[('serial killer', 1)]",serial killer
11,25,Leaving Las Vegas (1995),"Drama, Romance","[('alcoholism', 1)]",alcoholism
12,26,Othello (1995),Drama,"[('Shakespeare', 1)]",Shakespeare
13,28,Persuasion (1995),"Drama, Romance","[('In Netflix queue', 1), ('Jane Austen', 1)]","In Netflix queue, Jane Austen"
14,29,"The City of Lost Children (Cité des enfants perdus, La) (1995)","Adventure, Drama, Fantasy, Mystery, Sci-Fi","[('kidnapping', 1)]",kidnapping
15,31,Dangerous Minds (1995),Drama,"[('high school', 1), ('teacher', 1)]","high school, teacher"
